name,eng,ger
lang,Language,Sprache
header_p,Sizing of battery storage systems,Auslegung von Batteriespeichern
efh_name,SFH,EFH
location,Location,Standort
placeholder_location,ZIP-Code (Germany),Postleitzahl oder Adresse
building_type,Building type,Gebäudetyp
building_size,Building size,Wohnfläche
usage,Consumption usage,Verbrauchskennzahlen
inhabitants,Number of persons,Bewohneranzahl
energy_cons,Electrical energy consumption,Stromverbrauch
mfh_name,MFH,MFH
industry_name,Others,Sonstige
tab_info_1,"The PIEG-Strom Webtool serves as an aid for the design of battery storage systems. After entering various parameters, statements are made about the economic efficiency and the most effective storage size.",Das PIEG-Strom Webtool dient zur Hilfe bei der Auslegung von Batteriespeichern. Nach Eingabe verschiedener Parametern werden Aussagen über die Wirtschaftlichkeit und die effektivste Speichergröße getroffen.
choose_building,Building:,Gebäude:
choose_technology,Technology:,Technologie:
increase_autarky,Increase autarky,Eigenversorgung
peak_shaving,Peak shaving,Peak Shaving
economics,Economics,Ökonomie
pv,PV,PV
chp,CHP,KWK
hp,HP,WP
gas,Gas heater,Gasheizung
bat,Battery,Batterie
hyd,H2-Storage,H2-Speicher
n_dwellings,Number of dwellings,Anzahl Wohnungen
housing_units,Housing units,Wohneinheiten
building_type_industry,Business sector,Geschäftsfeld
1,North Sea coast,Nordseeküste
2,Baltic Sea coast,Ostseeküste
3,Northwest German Lowlands,Nordwestdeutsches Tiefland
4,Northeast German Lowlands,Nordostdeutsches Tiefland
5,Lower Rhine-Westphalian Bay and Emsland,Niederrheinisch-westfälische Bucht und Emsland
6,"Northern and western low mountain ranges, peripheral areas","Nördliche und westliche Mittelgebirge, Randgebiete"
7,"Northern and western low mountain ranges, central areas","Nördliche und westliche Mittelgebirge, zentrale Bereiche"
8,Upper Harz and Black Forest (central areas),Oberharz und Schwarzwald (mittlere Lagen)
9,Thuringian basin and Saxon hill country,Thüringer Becken und Sächsisches Hügelland
10,Southeastern low mountain ranges up to 1000 m,Südöstliche Mittelgebirge bis 1000 m
11,"Erzgebirge, Bohemian and Black Forest above 1000 m","Erzgebirge, Böhmer- und Schwarzwald oberhalb 1000 m"
12,Upper Rhine Graben and Lower Neckar Valley,Oberrheingraben und unteres Neckartal
13,Swabian-Franconian Steppes and Alpine Foothills,Schwäbisch-fränkisches Stufenland und Alpenvorland
14,Swabian Alb and Baar,Schwäbische Alb und Baar
15,Alpine rim and valleys,Alpenrand und -täler
pv_power,PV-Power in kWp:,PV-Leistung in kWp:
pv_orientation,PV-Orientation:,PV-Orientierung:
pv_tilt,PV-Tilt,PV-Neigung
chp_type,Combined heat and power fuel type,Brennstoff für KWK-Brenner
chp_type_options,Natural gas,Erdgas
chp_type_options,Fuel cell (PEM),Brennstoffzelle (PEM)
chp_type_options,Fuel cell (SOFC),Brennstoffzelle (SOFC)
chp_strategy,Operating strategy:,Betriebsstrategie:
chp_strategy_options,Electricity,Elektrizität
chp_strategy_options,Heat,Wärme
chp_strategy_options,Heat & Electricity,Wärme & Elektrizität
hp_type,Heat pump type:,Wärmepumpen-Typ:
hp_type_options,Air / Water,Luft / Wasser
hp_type_options,Brine / Water,Sole / Wasser
bat_size,Battery size in kWh:,Batterie-Größe in kWh:
bat_power,Battery power in kW:,Batterie-Leistung in kW:
bat_feed_lim,Feed in Limit in kW/kWp:,Einspeisegrenze in kW/kWp:
upload_save,Upload previously saved file,Zuvor abgespeicherte Datei hochladen
developed,Developed and hosted by the,Entwickelt und gehostet vom
start,"This is a supplementary web tool to VDI 4657-3 ""Planning and integration of energy storage systems in building energy systems - Electrical power storage (EPS)"".","Dies ist ein ergänzendes Webtool zur VDI 4657-3 ""Planung und Integration von Energiespeichern in Gebäudeenergiesystemen - Elektrische Stromspeicher (ESS)"""
choose_use_case,Selection of the use case: ,Auswahl des Anwendungsfalls: 
use_case,Use case,Anwendung
choose_building_type,Choose a building type,Einen Gebäudetyp wählen
heating, incl. heating and hot water, inkl. Heizung und Warmwasser
max_heatload,Max. heating load: ,Max. Heizlast: 
invest_cost,Investment costs,Investitionskosten
small_battery,smallest battery,kleinste Batterie
large_battery,largest battery,größte Batterie
tariff,Electricity tariff,Stromtarif
price_sell,Feed-in tariff,Einspeisevergütung
price_buy,Electricity purchase price,Strombezugspreis
default,Default settings,Standardeinstellungen
self_sufficiency,Degree of self-sufficiency,Autarkiegrad
self_consumption,Self-consumption,Eigenverbrauch
energy_balance,Energy balance,Energiebilanz
payback,Payback period,Amortisationszeit
NPV,Net present value,Nettokapitalwert
IROR,Internal rate of return,Interne Verzinsung
eco_text_1,Only a battery with ,Nur eine Batterie mit 
eco_text_2, kWh pays for itself during its lifetime., kWh amortisiert sich während der Lebensdauer.
eco_text_3,The battery with ,Die Batterie mit 
eco_text_4, kWh has the fastest payback., kWh amortisiert sich am schnellsten.
eco_text_5,Multiple batteries appear to amortize at a similar rate over the lifetime.,Mehrere Batterien scheinen sich während der Lebensdauer ähnlich schnell zu amortisieren.
eco_text_6,No battery amortizes during its 15-year lifetime.,Keine Batterie amortisiert sich während der Lebensdauer von 15 Jahren.
usable_battery_size,Usable storage capacity in kWh,nutzbare Speicherkapazität in kWh
payback_years,Payback time in years,Amortisationszeit in Jahren
eco_text_7, kWh has the largest net present value and is therefore the most financially advantageous., kWh hat den größten Nettokapitalwert und ist somit die finanziell vorteilhafteste.
eco_text_8,There is no financial advantage to investing in a battery.,Die Investition in eine Batterie hat keinen finanziellen Vorteil.
eco_text_9,The return on investment of the battery with ,Die Verzinsung der Batterie mit 
eco_text_10, kWh is , kWh beträgt 
eco_text_11,The investment in a battery has no financial advantage.,Die Investition in eine Batterie hat keinen finanziellen Vorteil.
loadprofile,Loadprofile:,Lastprofil:
upload_info,Upload loadprofile in 15min steps,15 min. Lastprofil hochladen
upload_info1,"Of type .xls, .xlsx or .csv","Vom Typ .xls, .xlsx oder .csv"
upload_info2,The column with the highest average value is used,Genutzt wird die Spalte mit dem höchsten Durschnittswert
upload_info3,Assumed is the unit watt,Angenommen wird die Einheit Watt
grid_supply,Grid supply: ,Netzbezug: 
max_grid_supply,Maximum grid supply: ,Maximaler Netzbezug: 
load_hours,Full load hours,Volllaststunden
cut_peak,Cut off peak load [kW],abgeschnittene Lastspitze [kW]
e_rate,Discharge rate,Entladerate
