name,eng,ger
lang,Language,Sprache
header_p,Sizing of electrical storage systems,Auslegung von Stromspeichern
efh_name,SFH,EFH
efh_tooltip,Simulation of a single-family house based on a real measured load profile - own load profiles can be simulated in the “Other” building,Simulation eines Einfamilienhauses auf der Grundlage eines real gemessenen Lastprofils - eigene Lastprofile können im Gebäude „Sonstige“ simuliert werden 
mfh_name,MFH,MFH
mfh_tooltip,Simulation of an apartment building based on real measured load profiles - own load profiles can be simulated in the “Other” building,Simulation eines Mehrfamilienhauses auf der Grundlage real gemessener Lastprofile - eigene Lastprofile können im Gebäude „Sonstige“ simuliert werden
industry_name,Others,Sonstige
industry_tooltip,"Standard load profiles, real consumption profiles or your own load profiles can be used to simulate other buildings","Für die Simulation sonstiger Gebäude können Standardlastprofile, reale Verbrauchsprofile oder eigene Lastprofile verwendet werden"
location,Location: ,Standort: 
placeholder_location,ZIP-Code (Germany),Postleitzahl oder Adresse
building_type,Building type,Gebäudetyp
building_type_tooltip,"Transmission heat losses 
Existing building, unrenovated: 2.6 W/(m²K)
Existing building, renovated: 1.6 W/(m²K)
New building, after 2016: 0.8 W/(m²K)","Transmissionswärmeverluste 
Bestand, unsaniert: 2,6 W/(m²K)
Bestand, saniert: 1,6 W/(m²K)
Neubau, nach 2016: 0,8 W/(m²K)"
building_size,Living area,Wohnfläche
building_size_tooltip,Net floor area of the building,Nettogrundfläche des Gebäudes
heating_temperature,Flow / return temperature,Vorlauf-/Rücklauftemperatur
usage,Consumption usage,Verbrauchskennzahlen
inhabitants,Number of persons,Bewohneranzahl
inhabitants_tooltip,Approximately 550 kWh of heat per person per year is assumed,Pro Person werden ca. 550 kWh Wärme pro Jahr angenommen
energy_cons,Electrical energy consumption,Stromverbrauch
energy_cons_tooltip,Annual electricity demand of the household,Jährlicher Strombedarf des Haushaltes 
choose_building,Building:,Gebäude:
choose_technology,Technology:,Technologie:
increase_autarky,Self-sufficieny,Eigenversorgung
increase_autarky_tooltip,"By storing surplus electricity in a battery, self-consumption can be increased and the building’s energy autonomy improved.","Durch die Speicherung von Stromüberschüssen in einer Batterie kann der Eigenverbrauch erhöht und der Autarkiegrad des Gebäudes gesteigert werden."
peak_shaving,Peak shaving,Peak Shaving
peak_shaving_tooltip,"The battery is discharged in a targeted manner to reduce peak loads and limit grid connection capacity."," Die Batterie wird gezielt entladen, um hohe Lastspitzen zu reduzieren und die Anschlussleistung zu begrenzen."
economics,Economics,Ökonomie
pv,2nd PV,2te PV
photovoltaik,Photovoltaic: ,Photovoltaik:
photovoltaik_tooltip,Installed module capacity in kWp,Installierte Modulleistung in kWp
pv_tooltip,Photovoltaics - two PV areas can be defined,Photovoltaik - es können zwei PV-Flächen definiert werden
pv_power,PV-Power in kWp:,PV-Leistung in kWp:
pv_orientation,PV-Orientation:,PV-Orientierung:
pv_orientation_tooltip,Alignment of the module surface to the compass direction,Ausrichtung der Modulfläche zur Himmelsrichtung
pv_tilt,PV-Tilt,PV-Neigung
pv_tilt_tooltip,"Inclination angle: 0° parallel to the floor, 90° parallel to the wall","Neigungswinkel: 0° parallel zum Boden, 90° parallel zur Wand"
chp,CHP,KWK
combined_heat_power,Combined heat and power: ,Kraft-Wärme-Kopplung: 
chp_tooltip,Combined heat and power - only possible for simulation with heating system,Kraft-Wärme-Kopplung - nur bei Simulation mit Wärmesystem möglich
chp_peak_ratio,Share on design heat load: ,Anteil an Norm Heizlast: 
chp_peak_ratio_tooltip,Share of the CHP system in the total standard heating load (in %),Anteil der KWK-Anlage an der gesamten Norm-Heizlast (Angabe in %)
chp_electric_number,power-to-heat ratio: ,Stromkennzahl: 
chp_electric_number_tooltip,Ratio of electricity generated to heat generated in percent,Verhältnis von erzeugtem Strom zu erzeugter Wärme in Prozent
hp,HP,WP
heatpump, Heat pump: , Wärmepumpe: 
hp_tooltip,Heat pump - only possible for simulation with heating system,Wärmepumpe - nur bei Simulation mit Wärmesystem möglich
gas,Gas heater,Gasheizung
bat,Battery,Batterie
hyd,H2-Storage,H2-Speicher
housing_units,Number of dwellings,Anzahl Wohneinheiten
housing_units_tooltip,2 persons and an area of 70 m² are assumed per residential unit,Pro Wohneinheit werden 2 Personen und eine Fläche von 70 m² angenommen
building_type_industry,Business sector,Geschäftsfeld
1,North Sea coast,Nordseeküste
2,Baltic Sea coast,Ostseeküste
3,Northwest German Lowlands,Nordwestdeutsches Tiefland
4,Northeast German Lowlands,Nordostdeutsches Tiefland
5,Lower Rhine-Westphalian Bay and Emsland,Niederrheinisch-westfälische Bucht und Emsland
6,"Northern and western low mountain ranges, peripheral areas","Nördliche und westliche Mittelgebirge, Randgebiete"
7,"Northern and western low mountain ranges, central areas","Nördliche und westliche Mittelgebirge, zentrale Bereiche"
8,Upper Harz and Black Forest (central areas),Oberharz und Schwarzwald (mittlere Lagen)
9,Thuringian basin and Saxon hill country,Thüringer Becken und Sächsisches Hügelland
10,Southeastern low mountain ranges up to 1000 m,Südöstliche Mittelgebirge bis 1000 m
11,"Erzgebirge, Bohemian and Black Forest above 1000 m","Erzgebirge, Böhmer- und Schwarzwald oberhalb 1000 m"
12,Upper Rhine Graben and Lower Neckar Valley,Oberrheingraben und unteres Neckartal
13,Swabian-Franconian Steppes and Alpine Foothills,Schwäbisch-fränkisches Stufenland und Alpenvorland
14,Swabian Alb and Baar,Schwäbische Alb und Baar
15,Alpine rim and valleys,Alpenrand und -täler
chp_type,Combined heat and power fuel type,Brennstoff für KWK-Brenner
chp_type_options,Natural gas,Erdgas
chp_type_options,Fuel cell (PEM),Brennstoffzelle (PEM)
chp_type_options,Fuel cell (SOFC),Brennstoffzelle (SOFC)
chp_strategy,Operating strategy:,Betriebsstrategie:
chp_strategy_options,Electricity,Elektrizität
chp_strategy_options,Heat,Wärme
chp_strategy_options,Heat & Electricity,Wärme & Elektrizität
hp_type,Heat pump type:,Wärmepumpen-Typ:
hp_type_options,Air / Water,Luft / Wasser
hp_type_options,Brine / Water,Sole / Wasser
bat_size,Useable storage capacity in kWh: ,Nutzbare Speicherkapazität in kWh:
bat_power,Battery power in kW:,Batterie-Leistung in kW:
bat_feed_lim,Feed in Limit in kW/kWp:,Einspeisegrenze in kW/kWp:
upload_save,Upload saved project,gespeichertes Projekt laden
developed,"Developed within the project PIEG-Strom, which was supported by WIPANO - knowledge and technology transfer through patents and standards with funding from the Federal Ministry for Economic Affairs and Energy (BMWi) (FKZ: 03TN0004). The authors would like to thank Projektträger Jülich (PTJ) and BMWi for their support.","Entwickelt innerhalb des Projekts PIEG-Strom, welches durch das Programm WIPANO - Wissens- und Technologietransfer durch Patente und Normen mit Mitteln des Bundesministeriums für Wirtschaft und Klimaschutz (BMWK) (FKZ: 03TN0004) gefördert wurde. Die Autoren danken dem Projektträger Jülich (PTJ) und dem BMWK für die Unterstützung."
start,"This is a supplementary web tool to VDI 4657-3 "Planning and integration of energy storage systems in building energy systems - Electrical power storage (EPS).","Dies ist ein ergänzendes Webtool zur VDI 4657-3 "Planung und Integration von Energiespeichern in Gebäudeenergiesystemen - Elektrische Stromspeicher (ESS)"
choose_use_case,Selection of the use case for the storage system: ,Im ersten Schritt erfolgt die Auswahl des gewünschten Anwendungsfalls für den Stromspeicher: 
use_case,Use case,Anwendung
choose_building_type,Choose a building type,Einen Gebäudetyp wählen
heating, incl. heating and hot water, inkl. Heizung und Warmwasser
max_heatload,Design heat load: ,Norm Heizlast:
max_heatload_tooltip,Design heat load in kW,Norm-Heizlast in kW
invest_cost,Investment costs,Investitionskosten
battery_cost_func, kWh electrical storage, kWh Stromspeicher
tariff,Electricity tariff,Stromtarif
price_sell,Feed-in tariff,Einspeisevergütung
price_buy,Electricity purchase price,Strombezugspreis
default,Default values,Standardeinstellungen
self_sufficiency,Degree of self-sufficiency,Autarkiegrad
self_consumption,Self-consumption rate,Eigenverbrauchsanteil
energy_balance,Energy balance,Energiebilanz
payback,Payback period,Amortisationszeit
NPV,Net present value,Nettokapitalwert
IROR,Internal rate of return,Interne Verzinsung
eco_text_1,Only a electrical storage system with ,Nur ein Stromspeicher mit 
eco_text_2, kWh pays for itself during its lifetime., kWh amortisiert sich während der Lebensdauer.
eco_text_3,The electrical storage system with ,Der Stromspeicher mit 
eco_text_4, kWh has the fastest payback., kWh amortisiert sich am schnellsten.
eco_text_5,Multiple storage systems appear to amortize at a similar rate over the lifetime.,Mehrere Stromspeicher scheinen sich während der Lebensdauer ähnlich schnell zu amortisieren.
eco_text_6,No storage system amortizes during lifetime.,Keine Stromspeicher amortisiert sich während der Lebensdauer.
usable_battery_size,usable storage system capacity in kWh,nutzbare Speicherkapazität in kWh
payback_years,Payback time in years,Amortisationszeit in Jahren
year,Years,Jahre
eco_text_7, kWh has the largest net present value and is therefore the most financially advantageous.,  kWh hat den größten Nettokapitalwert und ist somit finanziell im Vorteil.
eco_text_8,There is no financial advantage to investing in a electrical storage system.,Die Investition in einen Stromspeicher hat keinen finanziellen Vorteil.
eco_text_9,The return on investment of the electrical storage system with ,Die Verzinsung des Stromspeichers mit 
eco_text_10, kWh is , kWh beträgt 
eco_text_11,The investment in a storage system has no financial advantage.,Die Investition in einen Stromspeicher hat keinen finanziellen Vorteil.
loadprofile,Loadprofile:,Lastprofil:
upload_info,Upload loadprofile in 15min steps,15 min. Lastprofil hochladen
upload_info1,"Of type .xls, .xlsx or .csv","Vom Typ .xls, .xlsx oder .csv"
upload_info2,The column with the highest average value is used,Genutzt wird die Spalte mit dem höchsten Durschnittswert
upload_info3,Assumed is the unit kilowatt [kW],Angenommen wird die Einheit Kilowatt [kW]
choosen_column,Choosen column: ,Ausgewählte Spalte: 
grid_supply,Grid supply: ,Netzbezug: 
max_grid_supply,Maximum grid supply: ,Maximaler Netzbezug: 
load_hours,Full load hours,Volllaststunden
cut_peak,Cut off peak load [kW],abgeschnittene Lastspitze [kW]
e_rate,Discharge rate,Entladerate
eco_help,other parameters,Weitere Parameter
eco_help_info,"For the economic consideration, a electrical storage system life of 15 years is assumed.",Für die wirtschaftliche Betrachtung wird eine Lebensdauer des Stromspeichers von 15 Jahren angenommen.
